,query.content,ground_truth.keypoints,generated_response,keypoints_hit_ratio_by_human_eval
18,"According to the hospitalization records of Lakeside General Hospital, what is O. Richardson's chief complaint?","[""O. Richardson's chief complaint is shortness of breath."", 'O. Richardson also reports chest pain.', 'Both symptoms have been present for 2 months.']",Shortness of breath and chest pain for 2 months,
19,"According to the hospitalization records of Princeton General Hospital, what is the patient's age?","[""The patient's age is 42, according to the hospitalization records of Princeton General Hospital.""]",42,
20,"According to the hospitalization records of Victoria General Hospital, what is O. Price's age?","[""O. Price's age is 66 according to the hospitalization records of Victoria General Hospital.""]",76,
21,"According to the hospitalization records of Clearwater General Hospital, what is J. Alvarez's pulse rate?","[""J. Alvarez's pulse rate is 80 per minute according to the hospitalization records of Clearwater General Hospital.""]",90 bpm,
22,Who was appointed as the new Chief Executive Officer in December 2019?,['David Lee was appointed as the new Chief Executive Officer in December 2019.'],The context does not mention the appointment of a new Chief Executive Officer in December 2019.,
23,When did significant ethical or integrity violations occur?,['Significant ethical or integrity violations occurred in September 2021.'],Significant ethical or integrity violations occurred in January 2021.,
24,How much dividend did Capital Finance Group distribute in February 2018?,"['Capital Finance Group distributed a dividend in February 2018.', 'The dividend amount distributed was $20 million.']",$20 million,
25,How much funding did HealthPro Innovations raise in February 2021?,['HealthPro Innovations raised $200 million in February 2021.'],$150 million,
26,Which company did InnovaTech Solutions acquire in April 2017?,['InnovaTech Solutions acquired DataLink Systems in April 2017.'],TechGear Inc.,
27,What percentage of equity did Fabrikon Manufacturing Ltd. acquire in TechnoParts Ltd. in May 2021?,['Fabrikon Manufacturing Ltd. acquired 75% equity in TechnoParts Ltd. in May 2021.'],75%,
28,When were compliance and regulatory updates proactively monitored and implemented?,['Compliance and regulatory updates were proactively monitored and implemented in December 2017.'],Compliance and regulatory updates were proactively monitored and implemented in March 2020.,
29,What was the shareholder equity value of Innovate Tech Solutions?,['The shareholder equity value of Innovate Tech Solutions was $5.2 billion.'],$270 million,
30,"According to the court judgment of Brighton, Sterling, Court, what was the amount embezzled by N. Adams in July 2022?","['N. Adams embezzled $45,000 in July 2022 according to the court judgment of Brighton, Sterling, Court.']","$45,000",
31,"According to the court judgment of Preston, Lancaster, Court, who was the chief judge?","['The chief judge in the court judgment of Preston, Lancaster, Court was J. Smith.']",Q. Gray,
32,"According to the court judgment of Riverton, Hamilton, Court, what was the sentence for H. Walker?","['H. Walker was sentenced to 5 years imprisonment.', 'H. Walker was fined $10,000.']","Eight years of imprisonment and a monetary fine of $20,000.",
33,"According to the court judgment of Trenton, Vandalia, Court, who was the defendant?","['The defendant in the court judgment of Trenton, Vandalia, Court was J. Smith.']",G. Torres,
34,"According to the court judgment of Sterling, Quarryville, Court, what was the date when Z. Torres was formally arrested?","['Z. Torres was formally arrested on January 30, 2023, according to the court judgment of Sterling, Quarryville, Court.']","30th, January, 2023",
35,"According to the court judgment of Norwood, Unionville, Court, what was the judgment date?",['The judgment date was 15th February 2023.'],10th January 2023,
36,"According to the court judgment of Vandalia, Bayside, Court, what crime did G. Torres commit?","['G. Torres was found guilty of the crime of fraud according to the court judgment of Vandalia, Bayside, Court.']",Crime of Fraud,
37,"According to the court judgment of Riverside, Glenwood, Court, what crime did X. Morgan commit?","['X. Morgan was found guilty of the crime of fraudulent accounting practices according to the court judgment of Riverside, Glenwood, Court.']",Crime of Fraudulent Accounting Practices,
38,"According to the court judgment of Ashton, Clarksville, Court, what was the sentence for J. Gonzalez?","['J. Gonzalez was sentenced to 3 years of probation according to the court judgment of Ashton, Clarksville, Court.']",3 years of probation,
39,"According to the court judgment of Summerville, Windsor, Court, when was the judgment delivered?","['The judgment of Summerville, Windsor, Court was delivered on 15th June, 2023.']","15th June, 2023",
40,"According to the hospitalization records of Lexington General Hospital, what is Q. Reyes's chief complaint?","[""Q. Reyes's chief complaint is persistent headache."", 'Q. Reyes has also experienced dizziness.', 'The symptoms have lasted for the past 2 weeks.']",Dysphagia and chest pain for the past 4 months.,
41,"According to the hospitalization records of Granville General Hospital, who is the historian for J. Rodriguez?","['The historian for J. Rodriguez is his father.', ""The father's name is Juan Rodriguez.""]",Mother: Maria Rodriguez,
42,"According to the hospitalization records of Bridgewater General Hospital, what is I. Thomas's chief complaint?","[""I. Thomas's chief complaint is a persistent cough."", 'I. Thomas has experienced shortness of breath.', 'The symptoms have lasted for 3 weeks.']","Ear discharge, hearing loss, and severe headache for 2 weeks.",
43,"According to the hospitalization records of Clarksville General Hospital, what is O. Myers' age?","[""O. Myers' age is 15 according to the hospitalization records of Clarksville General Hospital.""]",15,
44,"According to the hospitalization records of Farmington City Hospital, what is the chief complaint of A. Smith?","[""A. Smith's chief complaint is severe headache."", 'A. Smith has also experienced dizziness.', 'The symptoms have persisted for 3 days.']","Fever, abdominal pain, and bloody stools for 1 week.",
45,"According to the hospitalization records of Lakeside General Hospital, what is the prescribed long-term medication for O. Richardson?","['The prescribed long-term medication for O. Richardson is Vitamin D supplements.', 'The dosage is 1000 IU daily.']",Vitamin D supplements 1000 IU daily,
46,"According to the hospitalization records of Princeton General Hospital, what is A. Diaz's chief complaint?","[""A. Diaz's chief complaint is severe headaches."", 'A. Diaz has also experienced dizziness.', 'The symptoms have persisted for 3 weeks.']",Uterine bleeding and abdominal mass for 2 months.,
47,"According to the hospitalization records of Victoria General Hospital, what is O. Price's gender?","[""O. Price's gender is male according to the hospitalization records of Victoria General Hospital.""]",female,
48,"According to the hospitalization records of Newport General Hospital, how long has V. Lewis had hypertension?",['V. Lewis has had hypertension for 15 years according to the hospitalization records of Newport General Hospital.'],15 years,
49,"According to the hospitalization records of Clearwater General Hospital, what is J. Alvarez's birthplace?","[""J. Alvarez's birthplace is Springfield according to the hospitalization records of Clearwater General Hospital.""]",Clearwater,
50,When did Entertainment Enterprises Inc. update its compliance practices?,['Entertainment Enterprises Inc. updated its compliance practices in March 2020.'],August 2019,
51,Which company did Green Fields Agriculture Ltd. acquire in June 2021?,"['Green Fields Agriculture Ltd. acquired AgroTech Innovations.', 'The acquisition took place in June 2021.']",FreshPro,
52,How many new private jets did JetWing Aviation acquire in March 2021?,['JetWing Aviation acquired seven new private jets in March 2021.'],JetWing Aviation acquired five new private jets in March 2021.,
53,Who was appointed as a new board member in September 2018?,['Ms. Emily Carter was appointed as a new board member in September 2018.'],Mr. John Anderson was appointed as a new board member in September 2018.,
54,Who was appointed as the new Chief Financial Officer in August 2021?,"['Mr. John Smith was appointed as the new Chief Financial Officer.', 'The appointment occurred in August 2021.']",Ms. Sarah Thompson was appointed as the new Chief Financial Officer in August 2021.,
55,When did the board of directors change occur at InnovaTech Solutions?,['The board of directors change at InnovaTech Solutions occurred in March 2017.'],The board of directors change at InnovaTech Solutions occurred in January 2017.,
56,What was the cash flow of Fabrikon Manufacturing Ltd.?,['The cash flow of Fabrikon Manufacturing Ltd. was $120 million.'],The context does not provide information about the cash flow of Fabrikon Manufacturing Ltd.,
57,Which regulatory body approved SkyQuest Airlines for long-haul international flights in February 2017?,"['SkyQuest Airlines was approved for long-haul international flights in February 2017.', 'The regulatory body that granted the approval was EASA.']",The FAA (Federal Aviation Administration) approved SkyQuest Airlines for long-haul international flights in February 2017.,
58,What was the cash flow value of Innovate Tech Solutions?,['The cash flow value of Innovate Tech Solutions was $950 million.'],$890 million,
59,Which month and year did ABC Education Corporation form a strategic partnership with a technology firm?,"['ABC Education Corporation formed a strategic partnership with a technology firm in June, 2021.']",April 2021,
60,"According to the court judgment of Lakewood, Mayfield, Court, what was the date of the judgment?",['The date of the court judgment was 2nd June 2023.'],"1st of June, 2023",
61,"According to the court judgment of Lakewood, Mayfield, Court, who was the chief judge?","['O. Edwards was the chief judge in the court judgment of Lakewood, Mayfield, Court.']",W. Hernandez,
62,"According to the court judgment of Oakwood, Arlington, Court, who was the chief judge?","['The chief judge in the court judgment of Oakwood, Arlington, Court was A. Salazar.']",I. Torres,
63,"According to the court judgment of Oakwood, Arlington, Court, what was the fine imposed on Z. Ruiz?","['The fine imposed on Z. Ruiz according to the court judgment of Oakwood, Arlington, Court was $120,000.']","The court judgment does not specify a fine imposed on Z. Ruiz; the fine mentioned in the judgment is for Q. Ruiz, not Z. Ruiz.",
64,"According to the court judgment of Oakwood, Arlington, Court, where did Z. Ruiz transfer $50,000 to prevent recovery of owed taxes?","['Z. Ruiz transferred $50,000 to the Bahamas.', 'The transfer was made to prevent recovery of owed taxes.']","Z. Ruiz transferred $50,000 to an offshore account in the Bahamas.",
65,"According to the court judgment of Oakwood, Arlington, Court, what was the value of the business equipment hidden by Z. Ruiz?","['The value of the business equipment hidden by Z. Ruiz was $40,000.']","$40,000",
66,"According to the court judgment of Oakwood, Arlington, Court, what was the ethnicity of Z. Ruiz?","[""Z. Ruiz's ethnicity was Indian according to the court judgment of Oakwood, Arlington, Court.""]",Hispanic,
67,"According to the court judgment of Farmington, Vandalia, Court, what crime did T. Bennett commit?","['T. Bennett was found guilty of the crime of evading tax arrears recovery according to the court judgment of Farmington, Vandalia, Court.']",Financial Statement Fraud.,
68,"According to the court judgment of Farmington, Vandalia, Court, who was the chief judge?","['The chief judge in the court judgment of Farmington, Vandalia, Court was V. Smith.']",J. Martin,
69,"According to the court judgment of Farmington, Vandalia, Court, what was the judgment date?","['The judgment date was 16th June, 2023.']","The judgment date is not specified in the provided context for the Farmington, Vandalia, Court.",
70,"According to the court judgment of Farmington, Vandalia, Court, what was the location of the high-value property sold by T. Bennett?","['The high-value property sold by T. Bennett was located at 456 Elm Street, Vandalia.']","According to the court judgment, the high-value property sold by T. Bennett was located at 123 Main Street, Vandalia.",
71,"According to the court judgment of Farmington, Vandalia, Court, what was the occupation of T. Bennett?","[""T. Bennett's occupation was Senior Financial Manager according to the court judgment of Farmington, Vandalia, Court.""]",Self-Employed Consultant,
72,"According to the court judgment of Danbury, Pinehurst, Court, what was P. Anderson's occupation?","[""P. Anderson's occupation was self-employed consultant according to the court judgment of Danbury, Pinehurst, Court.""]",Senior Government Auditor,
73,"According to the court judgment of Danbury, Pinehurst, Court, what was the total amount of bribes P. Anderson received from XYZ Construction Co.?","['P. Anderson received a total of $50,000 in bribes from XYZ Construction Co. according to the court judgment of Danbury, Pinehurst, Court.']","$150,000",
74,"According to the court judgment of Danbury, Pinehurst, Court, who was the chief judge?","['The chief judge in the court judgment of Danbury, Pinehurst, Court was B. Edwards.']",C. Ward,
75,"According to the court judgment of Danbury, Pinehurst, Court, what was the amount of the bribe P. Anderson received from DEF Services?","['P. Anderson received a bribe from DEF Services.', 'The amount of the bribe was $55,000.']","$55,000",
76,"According to the court judgment of Upton, Georgetown, Court, what was the residence of F. Williams?","[""F. Williams's residence was 74, Brighton Street, Georgetown according to the court judgment.""]","72, Brighton Street, Georgetown",
77,"According to the court judgment of Upton, Georgetown, Court, what was the occupation of F. Williams?","[""F. Williams's occupation was City Engineer according to the court judgment of Upton, Georgetown, Court.""]",City Official,
78,"According to the court judgment of Upton, Georgetown, Court, what was the time period during which F. Williams manipulated the bidding process?",['F. Williams manipulated the bidding process from February 2021 to November 2021.'],January 2021 to December 2021.,
79,"According to the court judgment of Upton, Georgetown, Court, what was one of the behaviors F. Williams engaged in during March 2022?",['F. Williams manipulated financial records during March 2022.'],"In March 2022, Williams manipulated financial records to inflate company earnings, misleading stakeholders and regulators.",
80,"According to the hospitalization records of Oxford General Hospital, what is G. Gonzalez's chief complaint?","[""G. Gonzalez's chief complaint is severe right-sided back pain."", 'G. Gonzalez also reports hematuria (blood in urine) for 2 days.']",Severe left-sided back pain and hematuria for 2 days.,
81,"According to the hospitalization records of Oxford General Hospital, what is the temperature of G. Gonzalez during the physical examination?","[""G. Gonzalez's temperature during the physical examination was 37.7°C.""]",37.7°C,
82,"According to the hospitalization records of Oxford General Hospital, what is the result of the CT scan of G. Gonzalez's abdomen?","[""The CT scan of G. Gonzalez's abdomen showed right renal calculi.""]",The CT scan of G. Gonzalez's abdomen confirmed the presence of right renal calculi.,
83,"According to the hospitalization records of Oxford General Hospital, what is the marital status of G. Gonzalez?",['G. Gonzalez is unmarried according to the hospitalization records of Oxford General Hospital.'],married,
84,"According to the judgment of Glenwood, Quailwood, Court, what was the sentence given to Y. Nelson?","['Y. Nelson was sentenced to two years of fixed-term imprisonment according to the judgment of Glenwood, Quailwood, Court.']",Y. Nelson was sentenced to two years of fixed-term imprisonment.,
85,"According to the judgment of Glenwood, Quailwood, Court, who was the defense lawyer for Y. Nelson?","['L. Johnson was the defense lawyer for Y. Nelson according to the judgment of Glenwood, Quailwood, Court.']",Y. Parker from Parker & Associates.,
86,"According to the judgment of Glenwood, Quailwood, Court, what was the occupation of Y. Nelson?","[""Y. Nelson's occupation was chef according to the judgment of Glenwood, Quailwood, Court.""]",The context does not specify the occupation of Y. Nelson.,
87,When was the new CEO of Acme Government Solutions appointed?,['The new CEO of Acme Government Solutions was appointed in February 2021.'],February 2021.,
88,When was Acme Government Solutions established?,"['Acme Government Solutions was established on June 1, 2002.']","Acme Government Solutions was established on June 1, 2001.",
89,How much dividend did Acme Government Solutions distribute in January 2021?,['Acme Government Solutions distributed a dividend of $6 million in January 2021.'],$5 million,
90,In which month did Acme Government Solutions announce plans to establish regional offices in three new states?,['Acme Government Solutions announced plans to establish regional offices in three new states in April 2021.'],April 2021,
91,With whom did Acme Government Solutions forge a strategic partnership in May 2021?,['Acme Government Solutions forged a strategic partnership with a prominent technology company in May 2021.'],A leading technology firm.,
92,What was the return on equity of Acme Government Solutions?,['The return on equity of Acme Government Solutions was 8.67%.'],6.67%,
93,When was the corporate governance policy of Advanced Manufacturing Solutions Inc. revised?,['The corporate governance policy of Advanced Manufacturing Solutions Inc. was revised in January 2018.'],January 2018,
94,When was the Whistleblower Protection Policy adopted by Advanced Manufacturing Solutions Inc.?,['The Whistleblower Protection Policy was adopted by Advanced Manufacturing Solutions Inc. in May 2017.'],June 2017.,
95,How much did Advanced Manufacturing Solutions Inc. pay for the acquisition of Tech Tools Ltd.?,['Advanced Manufacturing Solutions Inc. paid $90 million for the acquisition of Tech Tools Ltd.'],$80 million.,
96,What was the amount of debt reduction achieved through debt restructuring in June 2017?,['The amount of debt reduction achieved through debt restructuring in June 2017 was $25 million.'],$30 million,
97,What was the total assets value of Advanced Manufacturing Solutions Inc. in 2017?,['The total assets value of Advanced Manufacturing Solutions Inc. in 2017 was $750 million.'],The context does not provide the exact total assets value of Advanced Manufacturing Solutions Inc. in 2017.,
98,When did EduCorp revise its code of conduct?,['EduCorp revised its code of conduct in February 2020.'],EduCorp revised its code of conduct in February 2020.,
99,When did EduCorp conduct mandatory ethics training for all employees?,['EduCorp conducted mandatory ethics training for all employees in March 2020.'],April 2020,
100,Who was appointed as the new CEO of EduCorp in May 2020?,['Lisa Franklin was appointed as the new CEO of EduCorp in May 2020.'],Lisa Collins was appointed as the new CEO of EduCorp in May 2020.,
101,Who was appointed as a new board member of EduCorp in October 2020?,['Zac Brown was appointed as a new board member of EduCorp in October 2020.'],Steven Johnson was appointed as a new board member of EduCorp in October 2020.,
102,When was EduCorp established?,"['EduCorp was established on October 1, 2005.']","March 1, 2005.",
103,How much did EduCorp reduce its liabilities by during the debt restructuring in March 2020?,['EduCorp reduced its liabilities by $10 million during the debt restructuring in March 2020.'],EduCorp reduced its liabilities by $5 million during the debt restructuring in March 2020.,
104,What percentage of equity did EduCorp acquire in Alpha Schools in April 2020?,['EduCorp acquired 50% equity in Alpha Schools in April 2020.'],40%,
105,How much did EduCorp raise during the large-scale financing in May 2020?,['EduCorp raised $60 million during the large-scale financing in May 2020.'],EduCorp raised $50 million during the large-scale financing in May 2020.,
106,What was EduCorp's debt to assets ratio?,"[""EduCorp's debt to assets ratio was 35%.""]",EduCorp's debt to assets ratio was 0.4 (or 40%).,
107,What was EduCorp's return on equity?,"[""EduCorp's return on equity was 9%.""]","As of December, EduCorp's return on equity was 9%.",
108,When did Vanguard Media Group update its compliance and regulatory standards?,['Vanguard Media Group updated its compliance and regulatory standards in February 2019.'],In January 2019.,
109,Which company did Vanguard Media Group acquire in April 2019?,['Vanguard Media Group acquired MediaFirst Productions in April 2019.'],Vanguard Media Group acquired MediaTech Productions in April 2019.,
110,When was Vanguard Media Group established?,"['Vanguard Media Group was established on May 1, 2000.']","Vanguard Media Group was established on March 1, 2000.",
111,With which company did Vanguard Media Group form a strategic partnership in June 2019?,['Vanguard Media Group formed a strategic partnership with Video Mania Inc. in June 2019.'],Vanguard Media Group formed a strategic partnership with a global advertising agency in June 2019.,
112,When did Vanguard Media Group launch its streaming service?,['Vanguard Media Group launched its streaming service in September 2019.'],Vanguard Media Group launched its streaming service in June 2019.,
113,How much was the dividend per share distributed in July 2019?,['The dividend per share distributed in July 2019 was $0.80.'],The context does not mention a dividend per share distributed in July 2019.,
114,"According to the hospitalization records of Upton General Hospital, what is K. Moore's initial diagnosis?","[""K. Moore's initial diagnosis according to the hospitalization records of Upton General Hospital is eczema.""]",Eczema,
115,"According to the hospitalization records of Upton General Hospital, what is K. Moore's chief complaint?","[""K. Moore's chief complaint is severe skin blistering.""]",Itchy skin rashes for 2 weeks.,
116,"According to the hospitalization records of Upton General Hospital, what is K. Moore's age?","[""K. Moore's age is 75 according to the hospitalization records of Upton General Hospital.""]",85,
117,"According to the hospitalization records of Upton General Hospital, what is K. Moore's gender?","[""K. Moore's gender is female according to the hospitalization records of Upton General Hospital.""]",Male,
118,"According to the hospitalization records of Tremont General Hospital, when was the patient admitted?",['The patient was admitted on September 25th.'],"24th, September",
119,"According to the hospitalization records of Tremont General Hospital, who is the historian for the patient's record?","[""The historian for the patient's record is the patient's father.""]",The historian for the patient's record is the patient and mother.,
120,"According to the hospitalization records of Tremont General Hospital, what is the patient's chief complaint?","[""The patient's chief complaint is persistent insomnia."", 'The patient has experienced episodes of severe anxiety.', 'These symptoms have been present for the past month.']",Experiencing auditory hallucinations and delusional thoughts for the past 1 month.,
121,"According to the hospitalization records of Tremont General Hospital, what diagnosis was given to the patient?",['The diagnosis given to the patient was major depressive disorder with psychotic features.'],The context does not specify an exact diagnosis given to the patient at Tremont General Hospital; it only mentions the chief complaint as experiencing auditory hallucinations and delusional thoughts for the past 1 month.,
122,"According to the hospitalization records of Knoxville General Hospital, what is L. Rogers' initial diagnosis?","[""L. Rogers' initial diagnosis according to the hospitalization records of Knoxville General Hospital is glaucoma.""]","Blurry, foggy vision and decreased visual acuity for the past 3 months.",
123,"According to the hospitalization records of Knoxville General Hospital, what is L. Rogers' chief complaint?","[""L. Rogers' chief complaint is severe headaches."", 'L. Rogers has experienced eye pain for the past month.']","Blurry, foggy vision and decreased visual acuity for the past 3 months.",
124,"According to the hospitalization records of Knoxville General Hospital, what is L. Rogers' age?","[""L. Rogers' age is 60 according to the hospitalization records of Knoxville General Hospital.""]",56,
125,"According to the hospitalization records of Knoxville General Hospital, what is L. Rogers' occupation?","[""L. Rogers' occupation is nurse according to the hospitalization records of Knoxville General Hospital.""]",Teacher,
126,In which year is the Corporate Governance Report for Green Fields Agriculture Co.?,['The Corporate Governance Report for Green Fields Agriculture Co. is for the year 2017.'],2017,
127,With whom did Green Fields Agriculture Co. partner in September 2018?,['Green Fields Agriculture Co. partnered with local environmental associations in September 2018.'],The context does not mention any partnership by Green Fields Agriculture Co. in September 2018.,
128,When was Green Fields Agriculture Co. established?,"['Green Fields Agriculture Co. was established on March 18, 1996.']","Green Fields Agriculture Co. was established on March 18, 1995.",
129,By what percentage did sales volume increase in January 2018 due to a new sales strategy?,['Sales volume increased by 25% in January 2018 due to the new sales strategy.'],25%,
130,How many acres of farmland did Green Fields Agriculture Co. acquire in March 2018?,['Green Fields Agriculture Co. acquired 150 acres of farmland in March 2018.'],100 acres.,
131,By what percentage did Green Fields Agriculture Co. reduce operational expenses through cost-cutting measures in April 2018?,['Green Fields Agriculture Co. reduced operational expenses by 10% through cost-cutting measures in April 2018.'],15%,
132,What system did Green Fields Agriculture Co. implement in October 2018 to streamline operations?,"['Green Fields Agriculture Co. implemented a cutting-edge CRM system in October 2018.', 'The CRM system was introduced to streamline operations.']",An enterprise resource planning (ERP) system.,
133,How much did Green Fields Agriculture Co. invest in Project Green Harvest in March 2018?,['Green Fields Agriculture Co. invested $60 million in Project Green Harvest in March 2018.'],$50 million,
134,What was the total value of the asset acquisition of Fresh Field Farms completed in May 2018?,['The total value of the asset acquisition of Fresh Field Farms completed in May 2018 was $30 million.'],$25 million,
135,What natural event in August 2018 significantly reduced crop yields for Green Fields Agriculture Co.?,"['A natural event in August 2018 significantly reduced crop yields for Green Fields Agriculture Co.', 'The event was a flood.']",A severe drought in August 2018 significantly reduced crop yields for Green Fields Agriculture Co.,
136,What percentage of equity did Green Fields Agriculture Co. acquire from Fertile Land Farms in September 2018?,['Green Fields Agriculture Co. acquired 50% equity from Fertile Land Farms in September 2018.'],40%,
137,"According to the hospitalization records of Ashland General Hospital, what is L. Brown's initial diagnosis?","[""L. Brown's initial diagnosis is sepsis according to the hospitalization records of Ashland General Hospital.""]",Malaria,
138,"According to the hospitalization records of Ashland General Hospital, what is L. Brown's chief complaint?","[""L. Brown's chief complaint is severe abdominal pain."", 'L. Brown also reports nausea.']","High fever, chills, and headache for 3 days.",
139,"According to the hospitalization records of Ashland General Hospital, what is L. Brown's age?","[""L. Brown's age is 32 according to the hospitalization records of Ashland General Hospital.""]",32,
140,"According to the hospitalization records of Ashland General Hospital, what is L. Brown's occupation?","[""L. Brown's occupation is Data Analyst according to the hospitalization records of Ashland General Hospital.""]",Software Engineer,
141,"According to the hospitalization records of Southport General Hospital, what is K. Mendoza's chief complaint?","[""K. Mendoza's chief complaint is severe fatigue."", 'The fatigue is significant enough to affect daily life.']",Tremors in hands and slow movement for 6 months.,
142,"According to the hospitalization records of Southport General Hospital, what is K. Mendoza's age?","[""K. Mendoza's age is 33 according to the hospitalization records of Southport General Hospital.""]",35,
143,"According to the hospitalization records of Southport General Hospital, what is K. Mendoza's ethnicity?","[""K. Mendoza's ethnicity is Hispanic according to the hospitalization records of Southport General Hospital.""]",Latino,
144,"According to the hospitalization records of Southport General Hospital, what is K. Mendoza's marital status?","[""K. Mendoza's marital status is recorded as married in the hospitalization records of Southport General Hospital.""]",Single,
145,"According to the hospitalization records of Wilton General Hospital, what is H. Flores's initial diagnosis?","[""H. Flores's initial diagnosis is Japanese encephalitis according to the hospitalization records of Wilton General Hospital.""]","Severe headache, high fever, and neck stiffness for 2 days.",
146,"According to the hospitalization records of Wilton General Hospital, what is H. Flores's chief complaint?","[""H. Flores's chief complaint is chest pain."", 'H. Flores also reports shortness of breath.', 'H. Flores experiences dizziness.', 'These symptoms have persisted for two days.']","Severe headache, high fever, and neck stiffness for 2 days.",
147,"According to the hospitalization records of Wilton General Hospital, what is H. Flores's age?","[""H. Flores's age is 85 according to the hospitalization records of Wilton General Hospital.""]",82,
148,When did Hudson Consumer Goods Co. report its sustainability and social responsibility initiatives?,['Hudson Consumer Goods Co. reported its sustainability and social responsibility initiatives in March 2017.'],Hudson Consumer Goods Co. reported its sustainability and social responsibility initiatives in 2017.,
149,When was Hudson Consumer Goods Co. established?,"['Hudson Consumer Goods Co. was established on May 1, 2003.']","May 1, 2003",
150,What was the operating income of Hudson Consumer Goods Co. in 2017?,['The operating income of Hudson Consumer Goods Co. in 2017 was $450 million.'],The context does not provide the specific operating income of Hudson Consumer Goods Co. in 2017.,
151,What were the total liabilities of Hudson Consumer Goods Co. at the end of 2017?,"[""Hudson Consumer Goods Co.'s total liabilities at the end of 2017 were $500 million.""]",$600 million,
152,Which company did Hudson Consumer Goods Co. acquire in January 2017?,"['Hudson Consumer Goods Co. acquired Boston Cosmetics.', 'The acquisition took place in January 2017.']",Hudson Consumer Goods Co. acquired Greenfield Cosmetics in January 2017.,
153,"According to the hospitalization records of Princeton General Hospital, what is H. Kim's chief complaint?","[""H. Kim's chief complaint is frequent acid reflux and heartburn."", 'The symptoms are especially noticeable after meals and during nighttime.']",Upper abdominal pain for 2 weeks,
154,"According to the hospitalization records of Princeton General Hospital, what is the patient's preliminary diagnosis?","[""The patient's preliminary diagnosis is gastritis according to the hospitalization records of Princeton General Hospital.""]","The context does not provide a preliminary diagnosis for the patients; it only lists chief complaints such as upper abdominal pain, uterine bleeding and abdominal mass, and frequent acid reflux and heartburn.",
155,"According to the hospitalization records of Princeton General Hospital, what is the patient's marital status?","[""The patient's marital status is unmarried.""]",Married,
156,"According to the hospitalization records of Princeton General Hospital, what is the patient's address?","[""The patient's address is 72, Main street, Princeton.""]","76, Quarryville street, Princeton",
